seed,b_groupasd.visit,b_grouptd.visit
1,0.435146,0.540576
1,0.400055,0.623018
1,0.39692,0.693127
1,0.398348,0.64133
1,0.403319,0.602893
1,0.456499,0.626288
1,0.453178,0.626154
1,0.518762,0.598581
1,0.39177,0.614466
1,0.432949,0.660799
1,0.586456,0.615808
1,0.510444,0.572249
1,0.459023,0.772499
1,0.353382,0.457334
1,0.48338,0.639601
1,0.484143,0.571755
1,0.431544,0.564696
1,0.410666,0.64035
1,0.49728,0.587369
1,0.517524,0.585505
1,0.423163,0.528169
1,0.501881,0.568795
1,0.495276,0.56589
1,0.436938,0.625056
1,0.372654,0.656462
1,0.375819,0.649589
1,0.396914,0.678768
1,0.444778,0.615758
1,0.402292,0.649965
1,0.421851,0.584181
1,0.446125,0.545214
1,0.402539,0.628438
1,0.442381,0.778854
1,0.455866,0.661363
1,0.377257,0.596801
1,0.368441,0.56258300000000006
1,0.44386,0.629285
1,0.480517,0.634248
1,0.408777,0.543221
1,0.416766,0.732754
1,0.555063,0.55105
1,0.603734,0.494716
1,0.544402,0.475051
1,0.540401,0.526007
1,0.536574,0.45264
1,0.47549399999999997,0.476396
1,0.477935,0.484153
1,0.478098,0.480417
1,0.460042,0.485062
1,0.460369,0.441496
1,0.44257,0.47278
1,0.398658,0.491736
1,0.406537,0.688132
1,0.404323,0.705907
1,0.363371,0.61862
1,0.373244,0.651945
1,0.460077,0.579068
1,0.402398,0.53653
1,0.43875,0.615927
1,0.346904,0.565464
1,0.352218,0.561585
1,0.392727,0.573248
1,0.429297,0.524855
1,0.406928,0.501995
1,0.418829,0.622652
1,0.445061,0.614281
1,0.428011,0.539321
1,0.448639,0.506168
1,0.361297,0.547223
1,0.373671,0.565705
1,0.420466,0.605797
1,0.419336,0.454109
1,0.406622,0.474572
1,0.422831,0.60606
1,0.421925,0.598315
1,0.341787,0.643636
1,0.450538,0.56466
1,0.436704,0.595835
1,0.443699,0.599908
1,0.445264,0.60126
1,0.443064,0.571415
1,0.459711,0.580643
1,0.457981,0.558638
1,0.440443,0.609029
1,0.361939,0.653179
1,0.339335,0.565313
1,0.47674,0.639884
1,0.430745,0.637707
1,0.433611,0.658465
1,0.443952,0.576956
1,0.395168,0.619473
1,0.379824,0.590309
1,0.399455,0.627607
1,0.395416,0.574448
1,0.376903,0.598272
1,0.396252,0.688167
1,0.364854,0.681133
1,0.381379,0.574167
1,0.406501,0.613095
1,0.390817,0.614944
1,0.426388,0.642471
1,0.473283,0.62738
1,0.381684,0.573492
1,0.40126,0.587257
1,0.417502,0.534516
1,0.380484,0.59412
1,0.272925,0.637054
1,0.43654,0.699584
1,0.436643,0.502279
1,0.420545,0.560254
1,0.418062,0.581776
1,0.417826,0.573045
1,0.40017200000000003,0.548032
1,0.42656,0.602455
1,0.418439,0.597606
1,0.402972,0.612101
1,0.422162,0.596297
1,0.485052,0.538959
1,0.479688,0.602352
1,0.50308,0.618083
1,0.360472,0.504096
1,0.448343,0.651852
1,0.449581,0.66054
1,0.424708,0.586279
1,0.363921,0.601712
1,0.381721,0.587055
1,0.393349,0.565801
1,0.391096,0.578614
1,0.38767,0.56344
1,0.384961,0.558322
1,0.391885,0.479083
1,0.378774,0.52323
1,0.365994,0.616394
1,0.361635,0.655078
1,0.325004,0.543432
1,0.377695,0.561578
1,0.39148,0.581616
1,0.474427,0.584776
1,0.435631,0.63656
1,0.35118,0.674363
1,0.358331,0.676125
1,0.461106,0.53242
1,0.443702,0.60912
1,0.470391,0.612644
1,0.483002,0.551086
1,0.540763,0.577183
1,0.426229,0.580092
1,0.402611,0.593114
1,0.416809,0.584877
1,0.395378,0.613628
1,0.383303,0.638854
1,0.488537,0.660993
1,0.444499,0.593784
1,0.464536,0.595172
1,0.479752,0.608224
1,0.457663,0.620599
1,0.465656,0.623124
1,0.461492,0.625597
1,0.468356,0.646684
1,0.465875,0.676747
1,0.469634,0.58946
1,0.48435,0.619044
1,0.537619,0.559519
1,0.460372,0.553207
1,0.286061,0.597794
1,0.503186,0.583217
1,0.424841,0.706089
1,0.411195,0.671407
1,0.455404,0.638476
1,0.469172,0.589451
1,0.418629,0.576264
1,0.448622,0.553916
1,0.460939,0.547189
1,0.445368,0.610007
1,0.441213,0.601837
1,0.353767,0.709156
1,0.526972,0.521657
1,0.403793,0.571246
1,0.433491,0.573674
1,0.457785,0.564864
1,0.467425,0.554885
1,0.451925,0.619094
1,0.459378,0.691209
1,0.495836,0.565716
1,0.460603,0.714498
1,0.416819,0.564365
1,0.414573,0.556896
1,0.435952,0.585329
1,0.467558,0.518089
1,0.471271,0.553138
1,0.453646,0.589663
1,0.462282,0.639135
1,0.424503,0.592586
1,0.300514,0.607115
1,0.432431,0.690605
1,0.390439,0.695205
1,0.460394,0.577341
1,0.453783,0.571838
1,0.447325,0.558076
1,0.38,0.594401
1,0.370227,0.604666
1,0.384566,0.567234
1,0.38129,0.585275
1,0.405924,0.630047
1,0.374337,0.592494
1,0.362835,0.485694
1,0.452335,0.541312
1,0.472162,0.542885
1,0.498799,0.557149
1,0.477935,0.481576
1,0.405848,0.571291
1,0.447494,0.700388
1,0.447503,0.619028
1,0.423616,0.54751
1,0.509588,0.649446
1,0.333936,0.627186
1,0.322347,0.640053
1,0.363579,0.566765
1,0.457037,0.539862
1,0.446608,0.511392
1,0.465954,0.463105
1,0.573034,0.502342
1,0.49869,0.557716
1,0.473942,0.643238
1,0.381327,0.635469
1,0.373386,0.636177
1,0.452783,0.598225
1,0.460481,0.606068
1,0.378326,0.591256
1,0.438658,0.756161
1,0.443858,0.746112
1,0.474711,0.512105
1,0.420746,0.763363
1,0.456685,0.779181
1,0.463388,0.760749
1,0.378691,0.644637
1,0.331366,0.655873
1,0.311146,0.648225
1,0.510919,0.678408
1,0.454625,0.677405
1,0.372385,0.592004
1,0.480342,0.67519
1,0.457839,0.707248
1,0.458911,0.609203
1,0.42683,0.639032
1,0.412342,0.641201
1,0.498632,0.508822
1,0.344071,0.430611
1,0.403208,0.582052
1,0.421673,0.544635
1,0.395506,0.530962
1,0.423274,0.543949
1,0.489708,0.442595
1,0.424241,0.506592
1,0.421134,0.6439
1,0.433402,0.622834
1,0.427738,0.663647
1,0.459567,0.647953
1,0.451655,0.644006
1,0.432355,0.648238
1,0.413325,0.642026
1,0.488154,0.59666
1,0.541341,0.671072
1,0.432342,0.525466
1,0.502124,0.435283
1,0.399701,0.571662
1,0.416987,0.514107
1,0.382326,0.574925
1,0.271562,0.627126
1,0.483873,0.643366
1,0.397505,0.585437
1,0.444117,0.633287
1,0.476859,0.603653
1,0.463474,0.603271
1,0.43353,0.523563
1,0.482432,0.608356
1,0.485941,0.610564
1,0.315754,0.579033
1,0.378454,0.591108
1,0.353376,0.61446
1,0.51295,0.603632
1,0.517605,0.617392
1,0.51289,0.575893
1,0.519793,0.549305
1,0.428111,0.698719
1,0.404586,0.670964
1,0.511641,0.697381
1,0.432291,0.479225
