seed,parameterasd,Estimate.x,Est.Error.x,Q2.5.x,Q97.5.x,parametertd,Estimate.y,Est.Error.y,Q2.5.y,Q97.5.y,power
1,groupasd:visit,0.4337551955,0.035808748395526294,0.36233592499999995,0.50116485,grouptd:visit,0.6104189415,0.035846839300711066,0.5380792,0.6799557999999999,1
2,groupasd:visit,0.4110643345,0.03848774222752611,0.33622824999999995,0.48939329999999975,grouptd:visit,0.6224739,0.04013145067381183,0.5472857750000001,0.70365345,1
3,groupasd:visit,0.44433348500000003,0.04159011042263844,0.36398227499999997,0.53054065,grouptd:visit,0.6183163065,0.04252964648154838,0.53321015,0.700396925,1
4,groupasd:visit,0.3698738025,0.029753001304218003,0.31344815,0.424980025,grouptd:visit,0.568899023,0.02973088210946615,0.5066286249999999,0.62274445,1
5,groupasd:visit,0.4119236235,0.03312821452016989,0.347677975,0.47777717499999994,grouptd:visit,0.593292005,0.033988888072591913,0.5272585750000001,0.663790625,1
6,groupasd:visit,0.3696248765,0.026240346462336955,0.320723725,0.4210218249999999,grouptd:visit,0.564927063,0.02588481413588778,0.51453725,0.613562925,1
7,groupasd:visit,0.3915457165,0.030443095092525234,0.33399355,0.4529799,grouptd:visit,0.6106932555,0.03332826783698377,0.546788525,0.67637805,1
8,groupasd:visit,0.3893469125,0.027348990825795352,0.33668552500000004,0.4455327749999998,grouptd:visit,0.5490919985,0.02842032333186309,0.49343535,0.606682675,1
9,groupasd:visit,0.352757882,0.02820542211120606,0.295254275,0.4064682,grouptd:visit,0.5981541435,0.027242254339695567,0.544990175,0.6506812500000001,1
10,groupasd:visit,0.344411029,0.029453013004830088,0.2870543,0.401621775,grouptd:visit,0.6431082425,0.02693256774745827,0.5939976,0.6979099249999999,1
11,groupasd:visit,0.3938746295,0.03389941112217799,0.3277565,0.45930097499999994,grouptd:visit,0.599622484,0.03595176569271607,0.5312617500000001,0.6730982,1
12,groupasd:visit,0.368609092,0.03087553062857923,0.308615875,0.4298048749999999,grouptd:visit,0.599516234,0.028249635668304466,0.5460358,0.656225475,1
13,groupasd:visit,0.421777833,0.047791268326455166,0.330615525,0.5135226749999999,grouptd:visit,0.571464593,0.04665415233901037,0.478732425,0.6616742,0
14,groupasd:visit,0.3522027605,0.027470020377402475,0.29837442499999994,0.40497249999999996,grouptd:visit,0.580075424,0.028224384580654762,0.5281348250000001,0.6386967749999999,1
15,groupasd:visit,0.402416587,0.027475894832759522,0.348329125,0.4584818,grouptd:visit,0.576838942,0.0293966441213863,0.520167725,0.634552,1
16,groupasd:visit,0.4457879435,0.03449504097636773,0.378674875,0.5166799249999999,grouptd:visit,0.562618684,0.03159575099671896,0.49708515000000003,0.6231632749999999,0
17,groupasd:visit,0.3959451165,0.032807831452859655,0.32841167499999996,0.458617675,grouptd:visit,0.6243257285,0.03464201175876099,0.557578925,0.6901363,1
18,groupasd:visit,0.3781870665,0.032614024363096565,0.31393424999999997,0.4428853749999999,grouptd:visit,0.594482917,0.036341288078585166,0.524339825,0.66117385,1
19,groupasd:visit,0.37008583,0.028878119868711603,0.3152915,0.4250698749999999,grouptd:visit,0.5793127485,0.028851645027444146,0.5207543,0.636444575,1
20,groupasd:visit,0.465576742,0.044739936933022396,0.379709525,0.551862175,grouptd:visit,0.6007618315,0.045997562166268414,0.51151095,0.686912925,0
21,groupasd:visit,0.3859375805,0.03325781507912747,0.32234135,0.44921364999999996,grouptd:visit,0.591911785,0.03222447008616188,0.5258842499999999,0.654670675,1
22,groupasd:visit,0.3328918815,0.0267290753352898,0.28186945,0.38599942499999995,grouptd:visit,0.604781703,0.027358642429670888,0.5484379249999999,0.6563579,1
23,groupasd:visit,0.351182593,0.02599596724133875,0.2994594,0.403499725,grouptd:visit,0.583433267,0.029372197860566905,0.52579055,0.6399050000000001,1
24,groupasd:visit,0.388384951,0.027460340898753186,0.337207925,0.44253429999999994,grouptd:visit,0.583886031,0.02841521159352841,0.528754975,0.63944155,1
25,groupasd:visit,0.435283277,0.03612445785712232,0.363944825,0.503524675,grouptd:visit,0.5871922445,0.03990271317734142,0.508035025,0.6641495,1
26,groupasd:visit,0.435557783,0.03797251969178214,0.36053495,0.509169575,grouptd:visit,0.6057131665,0.034165462216147455,0.538356025,0.6752942749999999,1
27,groupasd:visit,0.452326881,0.04559418017667201,0.36197514999999997,0.5383291,grouptd:visit,0.574564552,0.04281480451465486,0.4912157,0.66352795,0
28,groupasd:visit,0.40428464,0.029185806150451386,0.3487702,0.46005132499999996,grouptd:visit,0.567794755,0.025900860119857972,0.5148929250000001,0.6163977500000001,1
29,groupasd:visit,0.3960271225,0.03937552613434736,0.316570825,0.4736857749999999,grouptd:visit,0.5880988215,0.039482085447811545,0.5133571750000001,0.6645711249999998,1
30,groupasd:visit,0.394295866,0.03220520087988741,0.33202592499999994,0.45501844999999996,grouptd:visit,0.5784475125,0.03134774251853469,0.5191747499999999,0.64201835,1
31,groupasd:visit,0.392849849,0.03387385380388482,0.3292442,0.4620047249999999,grouptd:visit,0.6012941935,0.033889869413461726,0.5358471249999999,0.6684277999999999,1
32,groupasd:visit,0.402032034,0.03318273719583344,0.336567325,0.466405325,grouptd:visit,0.597576705,0.03389263408707938,0.5320130750000001,0.662892275,1
33,groupasd:visit,0.4057016135,0.03417058728710835,0.336012425,0.47348929999999995,grouptd:visit,0.586233399,0.037426530596717786,0.5148785,0.6600264250000001,1
34,groupasd:visit,0.435390621,0.03504367692638173,0.37014759999999997,0.5034968000000001,grouptd:visit,0.5727684635,0.03515007135359399,0.5056818750000001,0.6413933,1
35,groupasd:visit,0.405063434,0.034195583586276855,0.33903677500000007,0.47081049999999997,grouptd:visit,0.6222089715,0.03336281867982409,0.55813525,0.6881614,1
36,groupasd:visit,0.414655515,0.032043545734599936,0.353196775,0.484433425,grouptd:visit,0.584652093,0.03248801341273584,0.5191104500000001,0.650982525,1
